name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons
Arcane Denial,0.8036,2.0,{1}{U},Instant,56,card_draw|counterspell,0.8238,1.0,0.408,0.7733,1.0,1.0,1.0,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 56) | Mana value cohérente (2.0)"
An Offer You Can't Refuse,0.7875,1.0,{U},Instant,35,ramp|token_generation|counterspell,0.8316,1.0,0.358,0.7698,1.0,0.75,1.0,"Rôles utiles pour la stratégie : ramp, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 35)"
Mystic Confluence,0.7695,5.0,{3}{U}{U},Instant,1422,card_draw|counterspell,0.8461,1.0,0.428,0.7791,0.65,0.8,0.8229,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1422) | Mana value cohérente (5.0)"
Cryptic Command,0.7694,4.0,{1}{U}{U}{U},Instant,1654,card_draw|counterspell,0.8354,1.0,0.428,0.7975,0.65,0.8,0.817,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1654) | Mana value cohérente (4.0)"
Counterspell,0.7607,2.0,{U}{U},Instant,16,counterspell,0.9392,0.75,0.358,0.7786,1.0,1.0,1.0,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 16) | Mana value cohérente (2.0)
Three Steps Ahead,0.7477,1.0,{U},Instant,1101,ramp|card_draw|token_generation|counterspell|artifact_synergy,0.7872,1.0,0.408,0.7729,0.65,0.75,0.7905,"Rôles utiles pour la stratégie : ramp, card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1101)"
Swan Song,0.7357,1.0,{U},Instant,74,token_generation|counterspell,0.7511,0.75,0.528,0.7538,1.0,0.75,0.9631,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 74)
Archmage's Charm,0.735,3.0,{U}{U}{U},Instant,1768,counterspell,0.8887,0.75,0.478,0.7853,0.65,1.0,0.8463,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1768) | Mana value cohérente (3.0)
Mystic Sanctuary,0.7304,0,,Land — Island,172,ramp,0.9484,0.75,0.32,0.7633,0.85,0.75,0.9891,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 172)
Fierce Guardianship,0.7288,3.0,{2}{U},Instant,79,counterspell,0.7168,0.75,0.478,0.7843,1.0,1.0,0.9442,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 79) | Mana value cohérente (3.0)
High Tide,0.7286,1.0,{U},Instant,811,ramp,0.9029,0.75,0.458,0.7944,0.65,0.75,0.8541,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 811)
Solemn Simulacrum,0.7197,4.0,{4},Artifact Creature — Golem,38,ramp|card_draw|etb_synergy|artifact_synergy|tutor,0.7127,1.0,0.17,0.7646,1.0,0.8,0.942,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 38) | Mana value cohérente (4.0)"
Mana Drain,0.7184,2.0,{U}{U},Instant,115,counterspell,0.787,0.75,0.408,0.7968,0.85,1.0,0.9004,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 115) | Mana value cohérente (2.0)
Frantic Search,0.7172,3.0,{2}{U},Instant,108,card_draw,0.8761,0.75,0.308,0.767,0.85,1.0,0.9493,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 108) | Mana value cohérente (3.0)
Negate,0.71,2.0,{1}{U},Instant,53,counterspell,0.7443,0.75,0.358,0.771,1.0,1.0,0.9594,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 53) | Mana value cohérente (2.0)
Rewind,0.7057,4.0,{2}{U}{U},Instant,996,counterspell,0.8382,0.75,0.428,0.7847,0.65,0.8,0.8185,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 996) | Mana value cohérente (4.0)
Arcane Signet,0.6989,2.0,{2},Artifact,3,ramp|artifact_synergy,0.936,0.75,0.07,0.7559,1.0,1.0,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 3) | Mana value cohérente (2.0)
Mind Stone,0.6988,2.0,{2},Artifact,32,ramp|card_draw|artifact_synergy,0.7554,1.0,0.0,0.7379,1.0,1.0,0.9655,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 32) | Mana value cohérente (2.0)"
Long River's Pull,0.6983,2.0,{U}{U},Instant,1488,card_draw|counterspell,0.5606,1.0,0.408,0.7881,0.65,1.0,0.6658,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1488) | Mana value cohérente (2.0)"
Sublime Epiphany,0.6981,6.0,{4}{U}{U},Instant,1733,token_generation|counterspell|blink,0.8446,0.75,0.428,0.7831,0.65,0.5,0.822,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1733)
Flusterstorm,0.6972,1.0,{U},Instant,312,counterspell|spellslinger_only,0.5573,0.75,0.628,0.8121,0.85,0.75,0.774,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 312)
Finale of Revelation,0.6918,2.0,{X}{U}{U},Sorcery,1285,card_draw|graveyard_synergy,0.8718,0.75,0.308,0.7536,0.65,1.0,0.837,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1285) | Mana value cohérente (2.0)
Force of Negation,0.6904,3.0,{1}{U}{U},Instant,265,counterspell|graveyard_synergy,0.6373,0.75,0.478,0.7773,0.85,1.0,0.818,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 265) | Mana value cohérente (3.0)
Flow of Knowledge,0.6872,5.0,{4}{U},Instant,3407,card_draw,0.9178,0.75,0.358,0.8012,0.4,0.8,0.7248,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Mana value cohérente (5.0)
Thought Vessel,0.6856,2.0,{2},Artifact,21,ramp|artifact_synergy,0.8807,0.75,0.07,0.7598,1.0,1.0,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 21) | Mana value cohérente (2.0)
Unwind,0.684,3.0,{2}{U},Instant,1052,counterspell,0.737,0.75,0.428,0.7762,0.65,1.0,0.7628,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1052) | Mana value cohérente (3.0)
March of Swirling Mist,0.6835,1.0,{X}{U},Instant,1522,protection,0.6552,0.75,0.578,0.7649,0.65,0.75,0.7179,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1522)
The One Ring,0.683,4.0,{4},Legendary Artifact,88,card_draw|etb_synergy|protection|lifegain|artifact_synergy,0.5486,1.0,0.2,0.7653,1.0,0.8,0.8517,"Rôles utiles pour la stratégie : protection, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 88) | Mana value cohérente (4.0)"
Myriad Landscape,0.6823,0,,Land,27,ramp|tutor,0.8174,0.75,0.17,0.7598,1.0,0.75,0.9996,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 27)
"Otawara, Soaring City",0.6795,0,,Legendary Land,90,ramp|blink|artifact_synergy|enchantment_synergy,0.792,0.75,0.17,0.7853,1.0,0.75,0.9856,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 90)
Sol Ring,0.6791,1.0,{1},Artifact,1,ramp|artifact_synergy,0.9534,0.75,0.0,0.7386,1.0,0.75,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1)
Force of Will,0.679,5.0,{3}{U}{U},Instant,190,counterspell,0.6548,0.75,0.428,0.7777,0.85,0.8,0.8276,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 190) | Mana value cohérente (5.0)
Pull from Tomorrow,0.6767,2.0,{X}{U}{U},Instant,926,card_draw,0.8635,0.75,0.238,0.7608,0.65,1.0,0.8324,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 926) | Mana value cohérente (2.0)
Swiftfoot Boots,0.6757,2.0,{2},Artifact — Equipment,12,protection|artifact_synergy|voltron_only,0.7609,0.75,0.19,0.7374,1.0,1.0,0.9685,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 12) | Mana value cohérente (2.0)
Opt,0.6718,1.0,{U},Instant,214,card_draw,0.7861,0.75,0.238,0.7648,0.85,0.75,0.8999,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 214)
Rhystic Study,0.6712,3.0,{2}{U},Enchantment,41,card_draw|enchantment_synergy,0.79,0.75,0.12,0.7503,1.0,1.0,0.9845,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 41) | Mana value cohérente (3.0)
Lórien Revealed,0.6705,5.0,{3}{U}{U},Sorcery,1195,ramp|tutor,0.7685,0.75,0.358,0.7643,0.65,0.8,0.7801,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1195) | Mana value cohérente (5.0)
Preordain,0.6658,1.0,{U},Sorcery,219,card_draw,0.6733,0.75,0.358,0.7607,0.85,0.75,0.8378,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 219)
Ponder,0.665,1.0,{U},Sorcery,146,card_draw,0.7503,0.75,0.238,0.7812,0.85,0.75,0.8802,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 146)
Muddle the Mixture,0.6644,2.0,{U}{U},Instant,667,counterspell|tutor,0.5868,0.75,0.528,0.7732,0.65,1.0,0.6802,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 667) | Mana value cohérente (2.0)
Wavebreak Hippocamp,0.6605,3.0,{2}{U},Enchantment Creature — Horse Fish,2310,card_draw|enchantment_synergy,0.8848,0.75,0.27,0.7576,0.4,1.0,0.7066,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Mana value cohérente (3.0)
Mystic Remora,0.6586,1.0,{U},Enchantment,96,card_draw|enchantment_synergy,0.7282,0.75,0.17,0.7572,1.0,0.75,0.9505,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 96)
Spellgyre,0.6556,4.0,{2}{U}{U},Instant,7884,card_draw|counterspell,0.4702,1.0,0.478,0.7923,0.4,0.8,0.4786,"Rôles utiles pour la stratégie : card_draw, counterspell | Instant/Rituel (densite souhaitee) | Mana value cohérente (4.0)"
Blur,0.6529,3.0,{2}{U},Instant,2258,card_draw|targeted_removal,0.8635,0.75,0.238,0.7872,0.4,1.0,0.6949,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Mana value cohérente (3.0)
Refute,0.6516,3.0,{1}{U}{U},Instant,1986,card_draw|counterspell,0.4181,1.0,0.358,0.7915,0.65,1.0,0.5875,"Rôles utiles pour la stratégie : card_draw, counterspell | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1986) | Mana value cohérente (3.0)"
Castle Vantress,0.6504,0,,Land,944,ramp,0.7973,0.75,0.22,0.7745,0.65,0.75,0.796,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 944)
Wizard Class,0.6501,1.0,{U},Enchantment — Class,651,ramp|card_draw|counter_synergy|enchantment_synergy,0.5625,1.0,0.22,0.7643,0.65,0.75,0.6669,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 651)"
Spell Swindle,0.6493,5.0,{3}{U}{U},Instant,2972,ramp|token_generation|counterspell,0.5493,1.0,0.358,0.7728,0.4,0.8,0.5221,"Rôles utiles pour la stratégie : ramp, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Mana value cohérente (5.0)"
Strix Serenade,0.649,1.0,{U},Instant,938,token_generation|counterspell,0.7001,0.75,0.358,0.7504,0.65,0.75,0.7425,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 938)
Wayfarer's Bauble,0.6489,1.0,{1},Artifact,116,ramp|artifact_synergy|tutor,0.7968,0.75,0.12,0.7502,0.85,0.75,0.9058,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 116)
